relsub,relsum,rel,index,title,date,summary,link
1,1,1,1,中國12機艦台海周邊活動 2軍機進入西南空域,2022-12-31,中國人民解放軍持續派遣軍機、軍艦襲擾台灣周邊海空域，破壞區域穩定。國防部今天上午指出，自昨天（30日）上午6時至今天上午6時，偵獲中共派出9架次軍機、3艘次軍艦於台海周邊活動，其中1架「BZK-007」無人機、1架「運8」反潛機進入台灣西南空域。,https://news.ltn.com.tw/news/politics/breakingnews/4170780
0,0,0,2,元旦多項新制上路一次看！基本工資調漲、家電換新補助3千,2022-12-31,2023年即將到來，元旦起將有多項新制實施，包括最受關注的基本工資調漲、勞工保險及國民年金費率調漲、育兒津貼取消排富條款等，以下是本報為讀者整理的各項新制資訊。勞健保及國民年金●基本工資調漲元旦起每月基本工資調高至2萬6400元，時薪調整至176元，預計超過232萬名勞工受惠。,https://news.ltn.com.tw/news/life/breakingnews/4167758
0,1,1,3,跨黨派立委提案制裁中共新疆惡行 這2黨全缺席,2022-12-31,中共迫害新疆維吾爾人的惡行備受關注，王定宇、林昶佐、王婉諭等跨黨派立委本週院會提案，要求政府應研議與其他民主國家合作，對中共提出制裁。立法院人權委員會會長王定宇昨表示，這是立法院首度通過跨黨派提案決議文，卻有2個政黨（國民黨、民眾黨）沒有連署。,https://news.ltn.com.tw/news/politics/breakingnews/4170749
0,0,0,4,劇烈波動中 國際油價連續2年全年收漲,2022-12-31,國際油價週五（30日）上漲，2022年全年收漲，以連續2年全年上漲結束了2022年。紐約西德州中級原油2月交割價上漲1.86美元，或2.4%，收每桶80.26美元。繼2021年全年漲幅55%後，2022年全年漲幅近7%。布蘭特原油3月交割價上漲2.45美元，或近3%，收每桶85.91美元。繼2021,https://ec.ltn.com.tw/article/breakingnews/4170742
0,1,1,5,台灣別上中共的當！維族女子揭新疆「再教育營」暴行,2022-12-31,曾多次經歷新疆「再教育營」的維吾爾族人米日古麗．圖爾蓀（Mihrigul Tursun），昨發表新書揭露中共暴行，並呼籲台灣人要加油，記取教訓，別上中共的當。立法院人權委員會會長、民進黨立委王定宇昨偕同商周出版、美國維吾爾人權項目、台灣東突厥斯坦協會，在立院召開《有去無回的地方：一個維吾爾女孩在新疆,https://news.ltn.com.tw/news/politics/breakingnews/4170738
0,0,0,6,籃球》林書豪在中國3年到底賺了多少錢？ 中媒曝光：數字相當驚人⋯,2022-12-31,〔體育中心／綜合報導〕林書豪宣布離開CBA，下一步是否來台打球備受矚目，其中又以PLG新北國王、高雄鋼鐵人頻被點名最有可能網羅林書豪，有中國球迷就計算出，過去3年他在CBA到底賺進了多少錢，並稱「數字相當驚人」！中國媒體《網易體育》近日有文章回憶，當年林書豪第一次在NBA站不住腳，開始考慮加盟CBA,https://sports.ltn.com.tw/news/breakingnews/4170730
0,1,1,7,直擊日本札幌遊客搶購EVE加強錠 轉身回頭架上已空,2022-12-31,中國再掀武漢肺炎疫情，更引發特定藥品搶購潮，台灣國內有普拿疼遭掃貨，本報記者在日本北海道札幌鬧區直擊，大型百貨與藥妝店皆缺知名品牌「EVE」解熱止痛藥QUICK版加強錠，如藍盒白字及藍盒金字的DX版，就算小型藥妝補貨，也在轉身之後被一掃而空。,https://news.ltn.com.tw/news/life/breakingnews/4170706
0,1,1,8,美股告別2022 主要指數創2008以來最大年線跌幅,2022-12-31,美股4大指數週五收黑，以下跌結束了2022年，在這一年內，美股因為升息、經濟衰退風險、俄羅斯侵略烏克蘭、中國武漢肺炎（新型冠狀病毒病，COVID-19）等因素下跌，創下2008年金融海嘯以來最大跌幅。綜合媒體報導，過往3年，美股主要指數呈現上升格局，這與貨幣寬鬆政策有關，然而貨幣寬鬆政策結束以來，標,https://ec.ltn.com.tw/article/breakingnews/4170710
0,0,0,9,經典賽》組最強日本武士隊！ 甫加盟紅襪的吉田正尚有望參戰,2022-12-31,〔體育中心／綜合報導〕日本隊備戰第五屆世界棒球經典賽，許多旅美好手都願意參戰，據《產經體育》報導指出，甫加盟紅襪的日籍重砲吉田正尚將有望披上日本隊球衣。29歲的吉田正尚日前與紅襪簽下一張5年9000萬美元合約，締造日本職棒野手挑戰大聯盟的最高薪，歐力士1540萬美元獲得入札金，紅襪共砸了1.054億,https://sports.ltn.com.tw/news/breakingnews/4170721
0,1,1,10,俄中關係引美方關切 美國務院：密切關注北京動作,2022-12-31,中國在烏俄戰爭期間的態度始終受到各界檢視。中國國家主席習近平與俄羅斯總統普廷昨日進行視訊會晤，凸顯兩國友好關係。對此，美國表示對北京與莫斯科的交往感到擔憂，強調會持續關注北京的一舉一動。《路透》報導，在普習會晤後，美國務院發言人評論，「北京聲稱保持中立，但其行為顯示出他們仍與俄羅斯發展緊密關係」、「,https://news.ltn.com.tw/news/world/breakingnews/4170715
