relsub,relsum,rel,index,title,date,summary,link
0,1,1,292,今44665境外215　0+7別鬆懈！BA.5飆升5.8％、新北嚴峻,2022-09-29 13:58:00,"【記者林芳如、林志怡／台北報導】中央流行疫情指揮中心今天(9/29)下午召開記者會說明最新疫情與防疫措施，疫情監測組組長周志浩宣布，今增本土44,665，比上周五增5.8%，另增境外移入215例、死亡個案53起。",https://tw.nextapple.com/life/20220929/018387BA0B27395A8A281552B8F34738
0,1,1,293,周玉蔻告柯P、蔣萬安原因曝！被虧和陳時中「永結同心」　怒告誹謗,2022-09-28 15:17:00,【呂志明／台北報導】資深媒體人周玉蔻原本預計今天上午要到台北地檢署對台北市長柯文哲和台北市長參選人蔣萬安提告，昨晚卻在節目爆哭，今早臨時決定不現身，只委託律師遞狀，而她也公布訴狀內容，原來是不滿蔣萬安說她和陳時中「小倆口談情說愛」、柯文哲祝福兩人「永結同心」，不滿被影射兩人關係，控告妨害名譽。,https://tw.nextapple.com/local/20220928/0183826AFA4F173073B6DD7A5DD5C724
0,1,1,294,陳椒華全副武裝質詢　邱國正親解頭盔無凹陷度測試原因,2022-09-27 12:13:00,【記者施智齡／台北報導】立法院新會期登場，時代力量立委兼黨主席陳椒華今天（27日）穿著防彈背心現身，質詢行政院長蘇貞昌時，她特別戴上頭盔，向國人同胞宣示，自己跟蘇院長一樣是台獨頑固份子，願意跟台灣共存亡。,https://tw.nextapple.com/politics/20220927/01837D2553113E96EA5E42843865AAB9
0,1,1,295,裕日車成功爭取原廠零件增額供應　全新Kicks月銷看1500台助攻Q4業績,2022-09-28 17:25:00,【記者陳慜蔚／台北報導】為爭取配額，裕日車（2227）汽車派員親赴日本與原廠溝通，成功爭取日產增加對台零件供應配額，隨著品牌重量級國產車改款Kicks將於下月上市，共有4大面向有感升級下，總經理蔡文榮樂觀新車上市，看好全新改款Kicks上市後將挑戰月銷1500台，挹注第4季業績成長。,https://tw.nextapple.com/finance/20220928/018383668D8C704C3093D575CDC02B82
0,1,1,296,世界DJ大賽台灣冠軍受百大DJ青睞　Ray Ray返台辦電音專場,2022-09-27 12:34:00,"【記者李志展/綜合報導】深受The Chainsmokers與Yellow Claw等百大 DJ青睞的RayRay，過去2年疫情期間照常舉辦世界巡迴，受邀到歐美、中國、日本、印尼等地演出；如今載譽歸來，她將在11月發首張個人專輯，同時宣布12月3日在Legacy舉辦「Unearthly World」個人電音專場演唱會，也是台灣舉辦個人專場的電音DJ第1人。
",https://tw.nextapple.com/entertainment/20220927/01837D20A0312DB767DF47D6AC261745
0,0,0,297,影片｜真正狗眼看人低！飼主逼外送員給狗道歉　還飆罵「長眼睛幹啥」,2022-09-17 16:50:00,【即時中心／綜合報導】欺人太甚！中國北京一名遛狗男子沒牽繩，結果半路上與外送員相碰，男子竟堵路逼外送員給狗道歉，惡霸行徑遭旁人拍攝PO上網後，引爆眾怒。（請開影片聲音）,https://tw.nextapple.com/international/20220917/018346D7AD7145F5B29EBA133BD810AF
0,1,1,298,周玉蔻明赴北檢提告　蔣萬安斥「歇斯底里」不隨之起舞,2022-09-27 17:15:00,【記者潘袁詩羽／台北報導】資深媒體人周玉蔻昨天向前中國小姐張淑娟鞠躬道歉，並點名國民黨台北市長參選人蔣萬安欺世盜名、根本不姓蔣。周玉蔻明天早上10點將到台北地檢署控告蔣萬安，還要告台北市長柯文哲公開誹謗，對此，蔣萬安辦公室發表聲明回應，不會隨之起舞。,https://tw.nextapple.com/politics/20220927/01837E2F16D6468260A300041DAD8105
0,0,0,299,超強美元成全球經濟噩夢　他卻說也是投資人最後避風港,2022-09-27 11:50:00,【財經中心／台北報導】在美聯準會大舉升息、歐洲能源危機衝擊下，美元在2022年佔據主導地位，不少經濟學家警告稱，美元走強對全球經濟來說是一場噩夢。,https://tw.nextapple.com/finance/20220927/01837D119952FF9AE0779E1355F15496
0,1,1,300,裴偉音檔讓政壇炸鍋！徐巧芯痛批「駭人聽聞」　對NCC信任感「低到樓地板」　,2022-09-27 15:19:00,【記者劉彥宜／台北報導】立法院今(9/27)爆出鏡電視創辦人裴偉談話的音檔，內容提及，行政院長蘇貞昌要求NCC主委陳耀祥，儘速通過鏡電視的執照，更說一切是總統蔡英文旨意，對此國民黨議員徐巧芯痛批，「多駭人聽聞的一件事」，NCC可以關閉中天，還考慮TVBS往後移頻，就是要讓鏡電視有機會上架。,https://tw.nextapple.com/life/20220927/01837DD0CE3783A0A154ABFA2082643B
0,1,1,301,維基被改「無恥政客」、老公備註「吃軟飯的」　王鴻薇怒：我半步都不會退,2022-09-27 12:03:00,【即時中心／綜合報導】國民黨台北市議員王鴻薇昨陪同前中國小姐張淑娟到台北地檢署提告，與資深媒體人周玉蔻起口角對罵約10分鐘，引起網友熱議。王鴻薇的維基百科還遭竄改，說她是「無恥政客」，老公名字旁括號「吃軟飯的」，她怒網軍手法，「我半步都不會退。」,https://tw.nextapple.com/politics/20220927/01837D1349F4B63807687F236F208ADA
