index,origin,title,inputime,summary,link
1,人民网-福建频道,厦门翔安区首届闽南文化·风狮爷艺术节颁奖仪式暨获奖作品展览活动举行,1655101631000,值得一提的是，此次组委会邀请到台湾著名艺术家李秉圭与著名雕塑家庄南鹏等两岸文化艺术行家作为评委，充分联动、共融共通。当天现场，除为这些作品颁奖外，活动主题曲《阮是风狮爷》也同时发布。    展览作品。,http://fj.people.com.cn/n2/2022/0613/c181466-35312806.html
2,人民网-河南频道,叶县：党建赋能 点燃乡村振兴“红色引擎”,1655092546000,目前，河南爱上雨具有限公司年销售8大系列20余个雨具品种100多万支，纯利润达200万元，带动就业143人；“澧水湾农场”助力丁庄村“黄台湾”种植基地销售翡翠丝瓜5000斤、石榴2000斤，近期贝贝南瓜线上销售供不应求,http://henan.people.com.cn/n2/2022/0613/c378397-35312648.html
3,人民网－人民日报海外版,台湾同胞表白祖国理所当然（日月谈）,1655088408000,这不，他们又盯上了新目标，因为台湾资深演员田丽说自己是“中国台湾阿里山邹人”“台湾必须是中国的”，相声演员姬天语说“两岸同根同源都是中国人”“大陆是家”，网红“台湾表妹”呼吁“台湾青年来祖国大陆走一走看一看“台湾表妹”在大陆社交平台则拥有百万粉丝，通过镜头向台湾网友介绍在大陆的所见所闻。  　　近年来，越来越多台湾演艺人员选择来大陆发展事业，得益于大陆对两岸文化交流的有力支持。但岛内绿营偏看不得台湾民众在大陆有好的发展，更不能允许台湾公众人物把对大陆的好印象、真挚的爱国心说给更多台湾人听。台湾有识之士痛斥数典忘祖的正是绿营分子，台湾许多少数民族祖辈是大陆来台的“外省人”，这些绿营分子的祖先何尝不是来自大陆。他们将转嫁矛盾、打压异己的政治操作，当成愚弄台湾民众的“万灵丹”，无异于饮鸩止渴，因为损害台湾同胞的利益福祉，最终必将被台湾民众唾弃。  　　两岸融合发展大势不可阻挡。,http://tw.people.com.cn/n1/2022/0613/c14657-32444994.html
4,人民网-国际频道,魏凤和在第19届香格里拉对话会上作大会发言,1655086947000,魏凤和就台湾问题表明严正立场，他强调，台湾是中国的台湾，台湾问题是中国的内政，祖国统一是绝对要实现的，搞“台独”分裂是绝对没有好下场的，外部势力干涉是绝对不会得逞的。和平统一是中国人民最大的愿望，我们愿付出最大的努力，但如果有人胆敢把台湾分裂出去，我们一定会不惜一战、不惜代价，任何人都不要低估中国军队的决心意志和强大能力。,http://world.people.com.cn/n1/2022/0613/c1002-32444978.html
5,东南网,两岸棋手蒙目隔空对弈 闽台青少年真人扮棋子,1655082311000,其中不乏许多新面孔，包括台湾桃园、台中、高雄及新疆阿勒泰、云南耿马等地的残健青少年棋手，至今已进行了多轮比赛，参赛棋手达到四百多人次。215平方米的超大棋盘上32名真人棋子中包含10名台湾青年，撑着“象”字的油纸伞的李京机，他正在听从指令配合大屏幕上两位蒙上双眼的棋手在棋盘上移动，这两位棋手均是视障者，分别是北京联合大学的刘京邵和台湾东吴大学的金希本次真人象棋表演赛的另一组棋手是明眼人，他们是天津南开大学的范越和台湾高雄的七段棋士郭胜文。传承象棋文化、促进两岸青年交流、增进残健融合的新颖比赛形式引来众多助力，台湾青年企业家李正能送来台湾美食为“棋子”补充能量。大陆象棋大师谢靖、张强、党斐、王斌、柳大华和5位参加2022年19届杭州亚运会的台湾棋手刘国华、葛振衣、赵奕帆、李思谊、彭柔安共同为第十届海青节加油。（记者 卢金福）,http://fj.people.com.cn/n2/2022/0613/c181466-35312091.html
6,新华社,台湾新增新冠肺炎确诊病例50657例,1655082310000,新华社台北6月12日电（记者齐湘辉、岳夕彤）台湾地区流行疫情指挥中心12日公布，新增50657例新冠肺炎确诊病例，包括50643例本土病例和14例境外输入病例，确诊病例中新增163例死亡。  指挥中心说明，今日新增本土病例中23945例男性、26684例女性、14例调查中；年龄介于未满5岁至90多岁；个案分布以台中市7734例最多、高雄市次之。  新增163例本土病例死亡个案为91例男性、72例女性，年龄介于30多岁至90多岁，皆属重度感染个案，其中151例具慢性病史、110例未接种3剂疫苗。  指挥中心还表示，负责人陈时中当天使用家用快筛试剂检验，结果为阳性，将进行居家照护。  截至目前，台湾地区累计确诊新冠肺炎病例2892263例，其中本土病例达2878773例。,http://tw.people.com.cn/n1/2022/0613/c14657-32444869.html
7,科技日报,钟南山院士建议用异种疫苗作为序贯接种,1655080052000,现在我们正在和台湾、香港的大学合作，目的也在于联合研究，取其所长，依靠科技战胜疫情。”钟南山说。,http://kpzg.people.com.cn/n1/2022/0613/c404214-32444736.html
8,新华网,新华社连发四评 揭批美对华政策演讲,1655079542000,全文链接：美国才是中美关系的危害者——美对华政策系列评论之一  　　美国破坏台海和平  　　这篇演讲不出意料又在台湾问题上大放厥词、大做文章，各种荒唐谬论张口就来，再次暴露美国煽动两岸分裂对抗、妄图“以台制华美国打“台湾牌”的实质是“以台制华”，目的是打压中国、迟滞中国发展步伐，阻挡中国统一和崛起，维护美国的霸权地位，推行霸权主义。  　　玩火者必自焚。,http://sc.people.com.cn/n2/2022/0613/c345167-35311830.html
9,人民网－《人民日报海外版》,台湾同胞表白祖国理所当然（日月谈）,1655079313000,这不，他们又盯上了新目标，因为台湾资深演员田丽说自己是“中国台湾阿里山邹人”“台湾必须是中国的”，相声演员姬天语说“两岸同根同源都是中国人”“大陆是家”，网红“台湾表妹”呼吁“台湾青年来祖国大陆走一走看一看姬天语在台湾师从名门，2016年到大陆定居，很快崭露头角，亮相多档知名相声和喜剧综艺，并成为德云社首位女相声演员。“台湾表妹”在大陆社交平台则拥有百万粉丝，通过镜头向台湾网友介绍在大陆的所见所闻。　　但岛内绿营偏看不得台湾民众在大陆有好的发展，更不能允许台湾公众人物把对大陆的好印象、真挚的爱国心说给更多台湾人听。台湾有识之士痛斥数典忘祖的正是绿营分子，台湾许多少数民族祖辈是大陆来台的“外省人”，这些绿营分子的祖先何尝不是来自大陆。他们将转嫁矛盾、打压异己的政治操作，当成愚弄台湾民众的“万灵丹”，无异于饮鸩止渴，因为损害台湾同胞的利益福祉，最终必将被台湾民众唾弃。　　两岸融合发展大势不可阻挡。,http://sc.people.com.cn/n2/2022/0613/c345460-35311812.html
10,科技日报,钟南山院士建议用异种疫苗作为序贯接种,1655078110000,现在我们正在和台湾、香港的大学合作，目的也在于联合研究，取其所长，依靠科技战胜疫情。”钟南山说。,http://health.people.com.cn/n1/2022/0613/c14739-32444563.html
