index,origin,title,inputime,summary,link
1,福建日报,罗屿港口对台铁矿石中转量大幅增长,1658104405000,2019年7月，罗屿港口与台湾高雄实现铁矿石中转业务首航，莆田港口岸成为大陆东南沿海首个对台开展铁矿石海上直航和大陆首个对台钢企开展铁矿石保税业务的口岸。近年来，罗屿港口与台湾钢铁企业的合作深度和广度不断拓展，业务内容逐步覆盖至钢铁企业自购铁矿石、淡水河谷铁矿石混配矿产品，原矿、冶金煤等产品保税中转以及冶金煤出口等。目前，罗屿港口平均每周对台装卸船2艘次，成为台湾钢铁行业在大陆的铁矿石最佳中转港口和储运基地。（记者 陈盛钟 通讯员 林智斌 唐建梅）,http://fj.people.com.cn/n2/2022/0718/c181466-40041969.html
2,人民网－人民日报海外版,两岸展区邀台湾民众共赴大运河之旅,1658102366000,据新华社台北电 （记者岳夕彤、齐湘辉）饱览“忆江南，风景旧曾谙”的秀丽风光、现场观看蒙眼切豆腐的精湛刀工、品尝地道的“扬州炒饭”……在7月15日开始举办的2022台北夏季旅展上，两岸展区为台湾民众带来一场台北夏季旅展是台湾一年一度的旅游推介盛会，今年是第七届。海旅会台北办事处还邀请了旅行社和旅游杂志等相关机构参展，方便向台湾民众讲解网络申办“台胞证”的流程，并进行旅游产品介绍，推广中华文化、历史典故等。,http://ent.people.com.cn/n1/2022/0718/c1012-32477640.html
3,人民网－人民日报海外版,湘台少数民族代表“云”端共庆传统祭典,1658102366000,“丰年祭”是台湾少数民族最隆重的传统祭典之一。每年7月至9月，台湾各地的部落会陆续举行祭典，用歌声和舞蹈庆祝丰收。活动同步在台湾台东县设立分会场，百余名台湾少数民族代表在分会场盛装出席。  参加活动的嘉宾们一起观看了湘台两地非物质文化图片展，同时让现场和线上嘉宾身临其境感受侗家热情的迎客风俗“拦门酒”。,http://ent.people.com.cn/n1/2022/0718/c1012-32477641.html
4,人民网－人民日报海外版,古泉州和泉州人,1658092953000,祖父年轻时，也曾差点被送往泗水投奔伯父，学做生意，但是适逢台湾光复，祖父还是选择去台湾当老师，后来又因缘际会回到泉州继续做中学历史老师。当时著名的代表人物是郑芝龙，他能够使用多种语言，活跃于福建、澳门、台湾及日本等地。他的儿子郑成功7岁从日本回到泉州的家乡石井镇，后来创立的海陆五商行更是涉及整个中国周边的海域。　　,http://ent.people.com.cn/n1/2022/0718/c1012-32477491.html
5,,长宁龙之梦正在升级！这些新店、新品牌即将入驻,1658039764000,古早萬丹  位于商场B2层的古早萬丹即将开业，品牌主打传统台湾糕点美食，包括万丹乡的车轮饼、花莲的牛轧饼、新北的古早味蛋糕、阿里山手工蛋卷、台南的桂圆核桃蛋糕、台中的太阳晒饼和鸳鸯饼等。,http://sh.people.com.cn/n2/2022/0717/c134768-40041560.html
6,人民网,台湾青年在厦门9年筑梦乡野：这里的土地会黏人，我的心已被牢牢粘住,1658026808000,在第十四届海峡论坛上，台湾青年李佩珍说出了自己的心里话。“我们闽南有一句俗谚：‘吃果子，拜树头’。今天，我除了无比的荣幸，心中满溢着沉甸甸的感恩之情。”  李佩珍正在接受采访。人民网 吕春荣摄 2014年，在惠台利民政策推动下，李佩珍带着在台湾累积15年的社区营造工作经验，来到了厦门海沧，参与乡村、社区的改造工作。这份“培根计划”渐渐地达到了“双向扎根”的作用，不仅让村民扎下对家乡文化自信的根，更让台湾青年扎下对这片土地认同的根。“台湾从南到北大约380公里，而从厦门到甘肃、到宁夏分别都超过2000公里，他们奔赴了一场心灵融合的旅程。”李佩珍说。,http://fj.people.com.cn/n2/2022/0717/c181466-40041483.html
7,新华社,台湾新增25296例新冠肺炎确诊病例 新增72例死亡,1658022473000,　　新华社台北7月16日电（记者齐湘辉、岳夕彤）台湾地区流行疫情指挥中心16日公布，新增25296例新冠肺炎确诊病例，包括25251例本土病例及45例境外输入病例，确诊病例中新增72例死亡。  　　指挥中心说明，新增本土病例年龄介于未满5岁至90岁以上。当日新增死亡病例分别为42例男性、30例女性，年龄介于40多岁至90岁以上，其中52例未接种3剂新冠疫苗。当日新增165例中重症病例。  　　统计显示，截至目前，台湾地区累计确诊新冠肺炎4240466例，其中本土病例达到4224222例。,http://tw.people.com.cn/n1/2022/0717/c14657-32477412.html
8,新华社,湘台少数民族代表“云”端共庆传统祭典,1658022346000,“丰年祭”是台湾少数民族最隆重的传统祭典之一。每年7月至9月，台湾各地的部落会陆续举行祭典，用歌声和舞蹈庆祝丰收。  　　活动同步在台湾台东县设立分会场，百余名台湾少数民族代表在分会场盛装出席。  　　,http://tw.people.com.cn/n1/2022/0717/c14657-32477407.html
9,新华社,台北夏季旅展：两岸展区邀台湾民众共赴大运河之旅,1658022307000,　　新华社台北7月15日电（记者岳夕彤、齐湘辉）饱览“忆江南，风景旧曾谙”的秀丽风光、现场观看蒙眼切豆腐的精湛刀工、品尝地道的“扬州炒饭”……在15日开始举办的2022台北夏季旅展上，两岸展区为台湾民众带来一场台北夏季旅展是台湾一年一度的旅游推介盛会，今年是第七届。海旅会台北办事处还邀请了旅行社和旅游杂志等相关机构参展，方便向台湾民众讲解网络申办“台胞证”的流程，并进行旅游产品介绍，推广中华文化、历史典故等。  　　夏季是台湾的旅游旺季，台湾旅游业者也在旅展上不遗余力吸引游客，推出观光巴士游、自行车旅游、渔村旅游等旅游产品，各大酒店也纷纷进行让利促销活动。此外还有菲律宾、印度、德国等国际旅游展区。  　　本届旅展为期4天，台湾14个县市的观光部门和近200家企业参展，共开设近600个展位。,http://tw.people.com.cn/n1/2022/0717/c14657-32477406.html
10,学习时报,周恩来在万隆会议上力挽狂澜,1658017516000,4月11日，台湾国民党驻香港特务机关指使在香港启德机场工作的地勤人员周驹，在中国代表团包租的“克什米尔公主”号飞机经过香港机场时，在机舱附近放置了定时炸弹，导致中国和越南代表团工作人员以及随同前往的中外记者,http://cpc.people.com.cn/n1/2022/0717/c443712-32477313.html
