relsub,relsum,rel,index,title,date,summary,link
0,0,0,859,中國央行副行長范一飛被查　涉嚴重違紀違法,2022-11-05 12:52:00,據中共中央紀委國家監委網站今天（5日）的消息，中國人民銀行（央行）黨委委員、副行長范一飛涉嫌嚴重違紀違法，正接受中央紀委國家監委紀律審查和監察調查。,https://tw.nextapple.com/international/20221105/017732BEE597FACD0EF329792C9E2CF2
1,0,1,860,不畏疫情醫院門市業績慘歸零　杏一目標每年展店30家,2022-12-07 00:01:00,【記者林巧雁／台北報導】杏一董事長陳麗如表示，過往杏一以醫院型門市為主，未來將積極增加社區型門市，提供客戶一條龍服務、就近服務客戶。杏一規劃每年以總門市據點10%的速度展店，相當於一年要開30家門市。,https://tw.nextapple.com/finance/20221207/38C617FB44CD03E2FA82921C3D4E14C8
0,0,0,861,張蘭怒控大S中國未離婚急嫁具俊曄　稱汪小菲溢付500萬「還給他」,2022-11-22 16:48:00,【娛樂中心／綜合報導】汪小菲撕逼大S風波越演越烈，他本人今天無法來台灣，張蘭護兒心切換她上戰場發聲明猛批大S，張蘭指控大S在中國的離婚程序沒完之前就已經迫不及待和具俊曄結婚，以及在離婚後還要挾汪小菲，「各種理由要加碼給她錢」。張蘭還表示汪小菲不僅付足了生活費，「還溢付了500多萬元，不容狡辯」，最後，她還要求大S把汪小菲多付的錢還給他，「我也要為我的兒子而戰」！,https://tw.nextapple.com/entertainment/20221122/48EEDAC9E42F4B666FC46B85DCDA2956
0,0,0,862,七十六號原子簽約新加坡潙堯電影推「亞洲說」　故事力量超越國界台灣加油,2022-12-07 20:10:00,【記者趙大智／台北報導】台灣的七十六號原子與新加坡的潙堯電影Weiyu Films今日(12/7)於新加坡亞洲電視論壇及內容交易市場舉行簽約儀式，宣布由他們攜手舉辦的『2023亞洲說 國際原創故事徵集大賽 』（2023 RisingStories Story Pitching Competition）將隆重舉行。希望能挖掘最具創意的故事與劇本，開發成全球市場都受歡迎的電影長片或電視劇集。活動中也邀請到IMDA新加坡資訊通信媒體發展局 助理局長洪慶忠，與TAICCA文化內容策進院院長李明哲出席此次簽約儀式。,https://tw.nextapple.com/entertainment/20221207/83E127039B1080BC46C9F79AE52F5435
0,0,0,863,2022這些星星殞落了…艾成拋下王瞳最驚慟　朱俐靜、余苑綺、明金成遺愛家人,2022-12-09 00:02:00,【娛樂中心／綜合報導】2022年步入尾聲，《壹蘋新聞網》回顧今年殞落的眾星，資深藝人蔡頭、巴戈、王羽、顧寶明以及作家倪匡對抗病痛多年，仍不敵病魔辭世；導演明金成心因性休克猝逝，留下妻子和一對剛出生的龍鳳胎；令人心碎的還有朱俐靜、余苑綺不敵癌魔香消玉殞；從馬來西亞來台打拚的歌手艾成，選擇在40歲這年，自我劃下人生句點；高齡辭世的常楓、文夏及脫線人生謝幕，同樣讓人不捨，他們在演藝圈的光芒都成追憶、永存大家心中。,https://tw.nextapple.com/entertainment/20221209/CC8070506FE4036F20FDBA5950FBEC0F
0,0,0,864,淨值低於票面！開發金明起暫停信用交易　公司：淨值已回升,2022-12-06 19:06:00,【記者林巧雁／台北報導】開發金因為第3季財報低於票面，依證交所規定，自12月7日起暫停融資融券交易，必須等到第4季財報出爐後才能恢復。,https://tw.nextapple.com/finance/20221206/8ABAA6E11CEF24131D9E0DFF91E11915
0,0,0,865,中國庫存回補來了！外資首度翻多驅動IC　調升聯詠評等及目標價,2022-11-17 11:36:00,【記者陳俐妏/台北報導】驅動IC產業振奮！，美系外資在最新出爐的報告中表示，中國需求復甦可能會增加補貨帶動，調升龍頭廠聯詠(3034)評等，由原先的中立調高至加碼，目標價也由290元調高至360元。,https://tw.nextapple.com/finance/20221117/B25264321171852C9911BB3A097011A9
0,0,0,866,防疫再鬆綁　北京買退燒止咳藥不用登記,2022-12-03 23:05:00,北京市市場監督管理局宣布，今天（12/3）起市民購買退燒、止咳、抗感染、咽乾咽痛等列為管制的4類藥品，不須再登記個人訊息。此舉被認為是因應防疫鬆綁的措施。,https://tw.nextapple.com/international/20221203/E78DE5AF3FC730F2D7268EAAF9A5205A
0,1,1,867,瘋傳「全域封城」民眾連夜逃出廣州　擠爆車站、露宿畫面曝光,2022-11-30 12:19:00,【國際中心／綜合外電】中國本輪疫情重災區之一的廣州市盛傳「全域封城」，周二（11/29）晚間有不少學校「無預警」突然提前要求學生離校，大批人潮湧進車站，公路上也是滿滿塞車潮。有網友指出，直至周三（11/30）凌晨，車站仍有大量無法擠上車的旅客滯留。,https://tw.nextapple.com/international/20221130/20CF67148BB768DB7459A110D7E51960
0,1,1,868,王丹：比台灣選舉更震撼的消息　昨夜上海人民走上街頭要自由,2022-11-27 08:04:00,【即時中心／綜合報導】昨日（26日）台灣九合一大大選落幕，引發各界關注，不過民運人士王丹今日表示，比台灣選舉更震撼人心的消息今早傳來，是昨夜中國上海人民走上街頭，抗議中國的防疫政策，還喊出「不自由，毋寧死」、「共產黨下台」、「習近平下台」的口號！,https://tw.nextapple.com/international/20221127/3FB555FF6189D97884E7835FB6271C42
